species	species_ID_method	strain	isotype	previous_names	sequenced	release	source_lab	latitude	longitude	landscape	locality_description	substrate	substrate_comments	substrate_temp	substrate_moisture	ambient_temp	ambient_humidity	associated_organism	life_stage	log_size_of_population	males_observed	inbreeding_state	photo	sampled_by	isolated_by	sampling_date	sampling_date_comments	isolation_comments	notes
		NIC114		C2			NIC	16.0435	-61.643	Forest		Fruit	Cecropia fruits, Cecropia sp.													2010-03-01		Trail, Chutes du Carbet II, Capesterre Belle-Eau, Guadeloupe	Cecropia fruits, trail, Chutes du Carbet II, Capesterre Belle-Eau. Guadeloupe, March 2010. CB. 16.0435, -61.6430, day not known
		NIC1140		48b1			NIC	-12.87255297	-69.49927501	Forest		Fruit	Palm fruit, orange - Wikungo, Astrocaryum sp.											C. Braendle	C. Braendle	2015-04-11		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1142		54			NIC	-12.87388603	-69.49565898	Forest		Fruit	Leonia glycycarpa (?) fruits, fresh, Leonia glycycarpa (?) sp.											C. Braendle	C. Braendle	2015-04-11		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1144		57a			NIC	-12.87499001	-69.49504701	Forest		Fruit	Cecropia fruit, old, Cecropia sp., weevils											C. Braendle	C. Braendle	2015-04-11		Forest, Trail, Chuncho lodge, Tambopata	Weevils present, bleached
		NIC1145		57d			NIC	-12.87499001	-69.49504701	Forest		Fruit	Cecropia fruit, old, Cecropia sp., weevils											C. Braendle	C. Braendle	2015-04-11		Forest, Trail, Chuncho lodge, Tambopata	Weevils present, bleached
		NIC1146		60			NIC	-12.875765	-69.49353903	Forest		Fruit	Olive shape fruit + Leonia glycycarpa (?) sp., small beetle											C. Braendle	C. Braendle	2015-04-11		Forest, Trail, Chuncho lodge, Tambopata	small beetle, bleached
		NIC1147		61			NIC	-12.87586299	-69.49340601	Forest		Fruit	Fruit pod, check pic iphone											C. Braendle	C. Braendle	2015-04-11		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1148		62.1			NIC	-12.87644897	-69.49256002	Forest		Fruit	Leonia glycycarpa (?) fruits, fresh, Leonia glycycarpa (?) sp.											C. Braendle	C. Braendle	2015-04-11		Forest, Trail, Chuncho lodge, Tambopata	from same sample as NIC1149; bleached
		NIC1149		62.2			NIC	-12.87644897	-69.49256002	Forest		Fruit	Leonia glycycarpa (?) fruits, fresh, Leonia glycycarpa (?) sp.											C. Braendle	C. Braendle	2015-04-11		Forest, Trail, Chuncho lodge, Tambopata	from same sample as NIC1148; bleached
		NIC1150		66			NIC	-12.87688499	-69.49274903	Forest		Fruit	Woody fruit											C. Braendle	C. Braendle	2015-04-11		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1151		69			NIC	-12.87644704	-69.49407396	Forest		Fruit	Porcupine fruit											C. Braendle	C. Braendle	2015-04-11		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1152		71.099999999999994			NIC	-12.87629499	-69.49540299	Forest		Fruit	Leonia glycycarpa (?) fruits, fresh, Leonia glycycarpa (?) sp.											C. Braendle	C. Braendle	2015-04-11		Forest, Trail, Chuncho lodge, Tambopata	from same sample as NIC1153; bleached
		NIC1153		71.2			NIC	-12.87629499	-69.49540299	Forest		Fruit	Leonia glycycarpa (?) fruits, fresh, Leonia glycycarpa (?) sp.											C. Braendle	C. Braendle	2015-04-11		Forest, Trail, Chuncho lodge, Tambopata	from same sample as NIC1152; bleached
		NIC1155		73			NIC	-12.87564204	-69.49654997	Forest		Fruit	Leonia glycycarpa (?) fruits, fresh,  Leonia glycycarpa (?) sp.											C. Braendle	C. Braendle	2015-04-11		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1156		Clay1			NIC	-12.990649	-69.507455	Forest		Fruit	Fruit on ground										1815	C. Braendle	C. Braendle	2015-04-11		Macaw Clay Lick, Tambopata	bleached
		NIC1157		Clay2			NIC	-12.990649	-69.507455	Forest		Fruit	Fruit on bush										1815	C. Braendle	C. Braendle	2015-04-11		Macaw Clay Lick, Tambopata	bleached
		NIC1159		75.099999999999994			NIC	-12.875118	-69.49683102	Forest		Fruit	Seed pod (with seeds germinating)											C. Braendle	C. Braendle	2015-04-12		Forest, Trail, Chuncho lodge, Tambopata	from same sample as NIC1160; bleached
		NIC1160		75.2			NIC	-12.875118	-69.49683102	Forest		Fruit	Seed pod (with seeds germinating)											C. Braendle	C. Braendle	2015-04-12		Forest, Trail, Chuncho lodge, Tambopata	from same sample as NIC1159; bleached
		NIC1161		76			NIC	-12.87576098	-69.496324	Forest		Fruit	Palm fruits (mainly seeds)										1960	C. Braendle	C. Braendle	2015-04-12		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1162		77.099999999999994			NIC	-12.875965	-69.49581496	Forest		Fruit	Small palm fruits/seeds											C. Braendle	C. Braendle	2015-04-12		Forest, Trail, Chuncho lodge, Tambopata	from same sample as NIC1163; bleached
		NIC1163		77.2			NIC	-12.875965	-69.49581496	Forest		Fruit	Small palm fruits/seeds											C. Braendle	C. Braendle	2015-04-12		Forest, Trail, Chuncho lodge, Tambopata	from same sample as NIC1162; bleached
		NIC1164		79			NIC	-12.87692699	-69.49483403	Forest		Fruit	Seed pod (flat)										1963	C. Braendle	C. Braendle	2015-04-12		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1165		80			NIC	-12.87688399	-69.49484501	Forest		Fruit	Leonia glycycarpa (?) fruits, fresh, ON tree (rotting)											C. Braendle	C. Braendle	2015-04-12		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1166		81b1			NIC	-12.87739897	-69.49448098	Forest		Fruit	Leonia glycycarpa (?) fruits, fresh											C. Braendle	C. Braendle	2015-04-12		Forest, Trail, Chuncho lodge, Tambopata	from same sample as NIC1167; bleached
		NIC1167		81b2			NIC	-12.87739897	-69.49448098	Forest		Fruit	Leonia glycycarpa (?) fruits, fresh											C. Braendle	C. Braendle	2015-04-12		Forest, Trail, Chuncho lodge, Tambopata	from same sample as NIC1166; bleached
		NIC1168		86			NIC	-12.87918197	-69.49254099	Forest		Fruit	Leonia glycycarpa (?) fruits, fresh											C. Braendle	C. Braendle	2015-04-12		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1169		87			NIC	-12.87919999	-69.49226297	Forest		Fruit	Porcupine fruit											C. Braendle	C. Braendle	2015-04-12		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1170		89			NIC	-12.87956603	-69.49155604	Forest		Fruit	Woody fruit cups, strongly decayed											C. Braendle	C. Braendle	2015-04-12		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1171		90b			NIC	-12.87979502	-69.49141103	Forest		Fruit	Fresh fruits on plant										1978	C. Braendle	C. Braendle	2015-04-12		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1172		91			NIC	-12.87986199	-69.49125797	Forest		Fruit	Porcupine fruit											C. Braendle	C. Braendle	2015-04-12		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1173		92			NIC	-12.88046801	-69.49081399	Forest		Fruit	Palm fruits, small, decayed											C. Braendle	C. Braendle	2015-04-12		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1174		93.1			NIC	-12.88087302	-69.49066697	Forest		Fruit	Figs (?) + palm fruits											C. Braendle	C. Braendle	2015-04-12		Forest, Trail, Chuncho lodge, Tambopata	from same sample as NIC1175; bleached
		NIC1175		93.2			NIC	-12.88087302	-69.49066697	Forest		Fruit	Figs (?) + palm fruits											C. Braendle	C. Braendle	2015-04-12		Forest, Trail, Chuncho lodge, Tambopata	from same sample as NIC1174; bleached
		NIC1176		94			NIC	-12.88127099	-69.49013798	Forest		Fruit	large fruits											C. Braendle	C. Braendle	2015-04-12		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1177		95			NIC	-12.881345	-69.49006297	Forest		Fruit	Leonia glycycarpa (?) fruits, fresh											C. Braendle	C. Braendle	2015-04-12		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1178		96			NIC	-12.88140401	-69.48988301	Forest		Fruit	small juicy fruit											C. Braendle	C. Braendle	2015-04-12		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1179		101			NIC	-12.882596	-69.48865003	Forest		?	unclear: see photo 1983											C. Braendle	C. Braendle	2015-04-12		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1180		102			NIC	-12.88253004	-69.48824904	Forest		Fruit	Palm fruit, nice seeds!											C. Braendle	C. Braendle	2015-04-12		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1181		108			NIC	-12.88332003	-69.48725897	Forest		Fruit	Leonia glycycarpa (?) fruits, fresh											C. Braendle	C. Braendle	2015-04-12		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1187		127.1			NIC	-12.88252903	-69.48456	Forest		Fruit	Genipa fruit (Huito)?, Genipa americana?											C. Braendle	C. Braendle	2015-04-12		Forest, Trail, Chuncho lodge, Tambopata	from same sample as NIC1188; bleached
		NIC1188		127.2			NIC	-12.88252903	-69.48456	Forest		Fruit	Genipa fruit (Huito)?, Genipa americana?											C. Braendle	C. Braendle	2015-04-12		Forest, Trail, Chuncho lodge, Tambopata	from same sample as NIC1187; bleached
		NIC1192		142	1		NIC	-12.849763	-69.45771201	Rural garden		Flower	Torch Ginger (rotting, on plant), Etlingera elatior											C. Braendle	C. Braendle	2015-04-12		Garden, El Gato lodge, Tambopata	bleached
		NIC1193		143			NIC	-12.84973802	-69.45760002	Rural garden		Flower	Torch Ginger (rotting, on plant), Etlingera elatior											C. Braendle	C. Braendle	2015-04-12		Garden, El Gato lodge, Tambopata	bleached
		NIC120		C0			NIC	16.0435	-61.643	Forest		Fruit	Woody fruit, Heart-shaped fruit 													2010-03-01		Chutes du Carbet II, Trail, Capesterre Belle-Eau, Guadeloupe	Heart-shaped fruit woody (see Guiana and NIC117), Chutes du Carbet II, Trail, Capesterre Belle-Eau, Guadeloupe, March 2010. CB. 16.0435, -61.6430, day not known
		NIC121		C3			NIC	16.0435	-61.643	Forest		Fruit	Fruits													2010-03-01		Chutes du Carbet II, Trail, Capesterre Belle-Eau, Guadeloupe	Fruits, unknown, Chutes du Carbet II, Trail, Capesterre Belle-Eau, Guadeloupe, March 2010, CB. 16.0435, -61.6430, day not known
		NIC122		X6			NIC	16.1779	-61.6563	Forest		Flower	Rotting flower 													2010-03-01		Saut de la Lezarde, Vernou, Guadeloupe	Rotten Flower, Saut de la Lezarde, Vernou, Guadeloupe, March 2010, CB. 16.1779, -61.6563, day not known
		NIC124		C4			NIC	16.0435	-61.643	Forest		Fruit	Cecropia fruits, Cecropia sp.													2010-03-01		Chutes du Carbet, Trail, Capesterre Belle-Eau, Guadeloupe	Cecropia fruits, Chutes du Carbet, Trail, Capesterre Belle-Eau, Guadeloupe, March 2010, CB (confirmed by ITS sequencing). 16.0435, -61.6430, day not known
		NIC125		C5			NIC	16.0207	-61.597	Rural Garden		Fruit	Carambola, Tree #1, next to wine lab, Averrhoa carambola													2010-03-01		Garden Poullet family, Capesterre Belle-Eau, Guadeloupe	Carambole, Tree #1, next to wine lab, Garden Famille Poullet, Capesterre Belle-Eau, Guadeloupe, March 2010, CB. 16.0207, -61.597, day not known
		NIC1252		PM4-2			NIC	4.08534999936819	-52.6829429715871	Forest		Flower	Clusia flower, Clusia sp. (likely C. palmicida)											C. Braendle & A. Cutter	C. Braendle	2015-08-19		Petit Plateau Inselberg	In-depth sampling Clusia on-site analysis 1
		NIC1254		PM15-1			NIC	4.08534999936819	-52.6829429715871	Forest		Flower	Clusia flower, Clusia sp. (likely C. palmicida)											C. Braendle & A. Cutter	C. Braendle	2015-08-19		Petit Plateau Inselberg	In-depth sampling Clusia on-site analysis 1
		NIC1257		PM18-1			NIC	4.08534999936819	-52.6829429715871	Forest		Flower	Clusia flower, Clusia sp. (likely C. palmicida)											C. Braendle & A. Cutter	C. Braendle	2015-08-19		Petit Plateau Inselberg	In-depth sampling Clusia on-site analysis 1
		NIC1268		282			NIC	3.608203959	-53.175201	Forest		Fruit	Fresh fruit, rotten, with lamelles											C. Braendle & A. Cutter	C. Braendle	2015-08-12		Sentier Roche Bateau, Saül	
		NIC1270		269			NIC	3.599450989	-53.18744604	Forest		Flower	Clusia flower, small, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-12		Sentier Roche Bateau, Saül	
		NIC1272		215			NIC	3.648232995	-53.19701498	Forest		Fruit	Woody fruits										658	C. Braendle & A. Cutter	C. Braendle	2015-08-11		Sentier Monts la Fumée, Saül	
		NIC1275		202			NIC	3.643404013	-53.19835701	Forest		Fruit	Fresh fleshy large yellow fruit, slightly decayed											C. Braendle & A. Cutter	C. Braendle	2015-08-11		Sentier Monts la Fumée, Saül	
		NIC1276		284a			NIC	3.61280797	-53.180336	Forest		Flower	Clusia flower, small, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-12		Sentier Roche Bateau, Saül	same sample as NIC1281
		NIC1277		249			NIC	3.607720993	-53.19995603	Forest		Flower	Clusia flower, large, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-12		Sentier Roche Bateau, Saül	
		NIC1278		189a			NIC	3.638634961	-53.20414497	Forest		Flower	Clusia flower, small, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-11		Sentier Monts la Fumée, Saül	same sample as NIC1388
		NIC1282		186			NIC	3.635443971	-53.20472097	Forest		Fruit	Fruits, Fruit covers, Bursa?											C. Braendle & A. Cutter	C. Braendle	2015-08-11		Sentier Monts la Fumée, Saül	
		NIC1284		222			NIC	3.649172019	-53.19355996	Forest		Flower	Gustavia flower, white, Gustavia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-11		Sentier Monts la Fumée, Saül	
		NIC1285		159-2			NIC	3.609445989	-53.21669896	Forest		Fruit	Fresh fruit with red seeds											C. Braendle & A. Cutter	C. Braendle	2015-08-10		Sentier Gros Arbres, Saül	same sample as NIC1294
		NIC129		11.1.2.a			NIC	16.0207	-61.597	Rural Garden		Flower	Heliconia bihai flower stem													2010-07-01		Garden Poullet family, Capesterre Belle-Eau, Guadeloupe	Heliconia bihai stem, Garden Famille Poullet, Capesterre Belle Eau, Guadeloupe, July 2010,16.0207, -61.597.  NP. Mating test with sp. 11 ok, day not known
		NIC1290		281			NIC	3.605792988	-53.17799502	Forest		Flower	Gustavia flower, white, Gustavia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-12		Sentier Roche Bateau, Saül	
		NIC1293		205			NIC	3.644524002	-53.19812902	Forest		Fruit	Woody fruits, Woody fruit covers											C. Braendle & A. Cutter	C. Braendle	2015-08-11		Sentier Monts la Fumée, Saül	
		NIC1294		159-1			NIC	3.609445989	-53.21669896	Forest		Fruit	Fresh fruit with red seeds											C. Braendle & A. Cutter	C. Braendle	2015-08-10		Sentier Gros Arbres, Saül	sample sample as NIC1285
		NIC1299		261d			NIC	3.602447016	-53.19164	Forest		Fruit	Fruit, Woody fruit covers, incense?											C. Braendle & A. Cutter	C. Braendle	2015-08-12		Sentier Roche Bateau, Saül	same sample as NIC1386
		NIC1300		273			NIC	3.594842032	-53.17887696	Forest		Flower	Inflorescence with small yellow flowers											C. Braendle & A. Cutter	C. Braendle	2015-08-12		Sentier Roche Bateau, Saül	same sample as NIC1386
		NIC1301		149			NIC	3.620189996	-53.20809804	Forest		Flower	Tiny white flowers											C. Braendle & A. Cutter	C. Braendle	2015-08-10		Sentier Gros Arbres, Saül	
		NIC1305		241a			NIC	3.614802025	-53.19812601	Forest		Flower	Clusia flower, small, rel. fresh, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-12		Sentier Roche Bateau, Saül	
		NIC1307		322			NIC	4.86802797764539	-52.3459590319544	Forest		Fruit	Fruit and leaves from Balisier											C. Braendle & A. Cutter	C. Braendle	2015-08-16		Sentier La Mirande, Matoury	
		NIC1309		313b			NIC	4.548271028	-52.21274	Forest		Fruit	Cecropia fruits, Cecropia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-14		Piste 1, Kaw mountains	same sample as NIC1316
		NIC1313		314a			NIC	4.54814597	-52.21200599	Forest		Fruit	Cecropia fruits, rel. fresh, Cecropia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-14		Piste 1, Kaw mountains	
		NIC1315		309			NIC	4.549069991	-52.21351398	Forest		Fruit	Cecropia fruits, immature, rel. fresh, Cecropia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-14		Piste 1, Kaw mountains	
		NIC1316		313a			NIC	4.548271028	-52.21274	Forest		Fruit	Cecropia fruits, rel. fresh, Cecropia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-14		Piste 1, Kaw mountains	same sample as NIC1309
		NIC1317		305			NIC	4.555320963	-52.209778	Forest		Flower	Large pink flowers from vine											C. Braendle & A. Cutter	C. Braendle	2015-08-14		Piste 1, Kaw mountains	
		NIC1321		301b			NIC	4.558942029	-52.20779099	Forest		Flower	Clusia flower, small, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-14		Piste 1, Kaw mountains	same sample as NIC1311, NIC1327
		NIC1323		304			NIC	4.556285972	-52.20881601	Forest		Fruit	Cecropia fruits, Cecropia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-14		Piste 1, Kaw mountains	
		NIC1328		399b			NIC	4.04861396178603	-52.6765490043908	Forest		Flower	Astrocaryum Pollen, Astrocaryum sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-23		Parare-Inselberg trail	
		NIC1335		366a			NIC	4.08830001018941	-52.6812439598143	Forest		Flower	Astrocaryum pollen, fresh, fallen on trunk/ground, Astrocaryum sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-20		Parare-Inselberg trail	bottom stalk
		NIC1336		366b			NIC	4.08830001018941	-52.6812439598143	Forest		Flower	Astrocaryum pollen, bottom, Astrocaryum sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-20		Parare-Inselberg trail	top stalk
		NIC1337		399d			NIC	4.04861396178603	-52.6765490043908	Forest		Flower	Astrocaryum Pollen, Astrocaryum sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-23		Parare-Inselberg trail	
		NIC1338		397b			NIC	4.04825999401509	-52.6771479751914	Forest		Flower	Astrocaryum pollen stalk, fresh, on ground/trunk, Astrocaryum sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-23		Parare-Inselberg trail	
		NIC1341		395			NIC	4.04742901213467	-52.6776320300996	Forest		Fruit	Cecropia fruits, Cecropia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-23		Parare-Inselberg trail	
		NIC1342		408a			NIC	4.05741797760128	-52.6789029780775	Forest		Flower	Astrocaryum pollen stalk, old, Astrocaryum sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-23		Parare-Inselberg trail	
		NIC1343		398b			NIC	4.04851396568119	-52.676731981337	Forest		Flower	Astrocaryum pollen, fresh, fallen on trunk/ground, Astrocaryum sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-23		Parare-Inselberg trail	
		NIC1344		405			NIC	4.05512703582644	-52.6781630236655	Forest		Flower	White flowers, fresh (same as COPAS)											C. Braendle & A. Cutter	C. Braendle	2015-08-23		Parare-Inselberg trail	
		NIC1348		430			NIC	4.07599596306681	-52.6893060095608	Forest		Flower	Clusia flowers, small, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-23		Parare-Inselberg trail	
		NIC1354		425			NIC	4.07157501205801	-52.6897009648382	Forest		Fruit	Woody old fruit											C. Braendle & A. Cutter	C. Braendle	2015-08-23		Parare-Inselberg trail	
		NIC1355		408b			NIC	4.05741797760128	-52.6789029780775	Forest		Flower	Astrocaryum pollen, fallen on trunk/ground, Astrocaryum sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-23		Parare-Inselberg trail	
		NIC1359		403			NIC	4.05317002907395	-52.6773870270699	Forest		Plant stem	Philodendron? juicy thick plant stem											C. Braendle & A. Cutter	C. Braendle	2015-08-23		Parare-Inselberg trail	
		NIC1363		409			NIC	4.05804896727204	-52.6782790292054	Forest		Flower	Clusia flowers small, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-23		Parare-Inselberg trail	
		NIC1368		383			NIC	4.03962696902453	-52.67437197268	Forest		Fruit	Figs, Ficus sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-22		Parare	N=2
		NIC1370		374			NIC	4.0367430076003	-52.6771069876849	Forest		Fruit	Red berries											C. Braendle & A. Cutter	C. Braendle	2015-08-22		Parare	fresh on the ground
		NIC1371		382			NIC	4.0405820030719	-52.6757630333304	Forest		Flower	large yellow tubular flowers											C. Braendle & A. Cutter	C. Braendle	2015-08-22		Parare	
		NIC1372		357d			NIC	4.08104002475738	-52.6822809688746	Forest		Flower	Astrocaryum Pollen, Astrocaryum sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-20		Inselberg	bottom stalk
		NIC1376		363			NIC	4.08339299261569	-52.6815199758857	Forest		Flower	Clusia grandiflora flower, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-20		Inselberg	
		NIC1378		CI-5a			NIC	4.0951	-52.686219	Forest		Flower	Clusia flower, grandiflora?, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-25		CI trail	7min below Inselberg rocks at top (along forest trail)
		NIC1380		357c			NIC	4.08104002475738	-52.6822809688746	Forest		Flower	Astrocaryum Pollen, Astrocaryum sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-20		Inselberg	ground
		NIC1381		377a			NIC	4.03945698402822	-52.6758640352636	Forest		Flower	Clusia flowers small, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-22		Parare	
		NIC1382		385			NIC	4.03844000771641	-52.6733470335602	Forest		Flower	Cecropia fruits, Cecropia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-22		Parare	toilet at Parare camp
		NIC1383		384			NIC	4.03890998102724	-52.6733850035816	Forest		Flower	Cecropia fruits, Cecropia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-22		Parare	
		NIC1384		396a			NIC	4.04796897433698	-52.6771440356969	Forest		Flower	Astrocaryum pollen stalk, old, Astrocaryum sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-23		Parare-Inselberg trail	
		NIC1386		261c			NIC	3.602447016	-53.19164	Forest		Fruit	Cecropia fruits, Cecropia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-12		Sentier Roche Bateau, Saül	same sample as NIC1299
		NIC1387		256a			NIC	3.603495006	-53.19458197	Forest		Flower	Clusia flowers, small, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-12		Sentier Roche Bateau, Saül	same sample as NIC1420
		NIC1388		189b			NIC	3.638634961	-53.20414497	Forest		Flower	Clusia flowers, small, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-11		Sentier Monts la Fumée, Saül	same sample as NIC1278
		NIC1389		237c			NIC	3.616803959	-53.19629196	Forest		Flower	Clusia flowers, large, rotten, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-12		Sentier Roche Bateau, Saül	
		NIC1391		275c			NIC	3.596770959	-53.17791598	Forest		Flower	Clusia flowers, large, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-12		Sentier Roche Bateau, Saül	same sample as NIC1411
		NIC1392		262c			NIC	3.601659033	-53.190647	Forest		Flower	Clusia flowers, small, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-12		Sentier Roche Bateau, Saül	
		NIC1393		293a			NIC	3.621482989	-53.21409596	Forest		Fruit	Cecropia fruits, Cecropia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-13		Sentier Belvedere, Saül	
		NIC1395		179			NIC	3.632552968	-53.20619199	Forest		Fruit	Fruit										644	C. Braendle & A. Cutter	C. Braendle	2015-08-11		Sentier Monts la Fumée, Saül	
		NIC1397		190a			NIC	3.638836965	-53.203719	Forest		Fruit	Fruit, Black olive-like fruit, palm tree?, partially eaten											C. Braendle & A. Cutter	C. Braendle	2015-08-11		Sentier Monts la Fumée, Saül	same sample as NIC1418
		NIC1400		320f			NIC	4.561057035	-52.18330602	Forest		Flower	Clusia flower, large, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-14		Piste 2, Kaw mountains	From same sample: NIC1326, NIC1319, NIC1399, NIC1400, NIC1314, NIC1325, NIC1306
		NIC1402		180			NIC	3.633203991	-53.20608797	Forest		Fruit	Woody fruits, Couratari sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-11		Sentier Monts la Fumée, Saül	
		NIC1404		174c			NIC	3.630068991	-53.205732	Forest		Fruit	Fruit covers as samples a,b,											C. Braendle & A. Cutter	C. Braendle	2015-08-11		Sentier Monts la Fumée, Saül	
		NIC1405		266			NIC	3.600050965	-53.18947999	Forest		Flower	Clusia flower, large, rotten, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-12		Sentier Roche Bateau, Saül	
		NIC1408		230			NIC	3.641236033	-53.18958099	Forest		Flower	Clusia flower, small, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-11		Sentier Monts la Fumée, Saül	
		NIC1409		188a			NIC	3.637292013	-53.20446499	Forest		Flower	Clusia flower, small, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-11		Sentier Monts la Fumée, Saül	same sample as NIC1415
		NIC1410		157			NIC	3.61230799	-53.21481999	Forest		Fruit	Woody fruit tops, old, large											C. Braendle & A. Cutter	C. Braendle	2015-08-10		Sentier Gros Arbres, Saül	
		NIC1411		275b			NIC	3.596770959	-53.17791598	Forest		Flower	Clusia flower, large, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-12		Sentier Roche Bateau, Saül	same sample as NIC1391
		NIC1415		188c			NIC	3.637292013	-53.20446499	Forest		Flower	Clusia flower, small, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-11		Sentier Monts la Fumée, Saül	same sample as NIC1409
		NIC1417		312			NIC	4.548536986	-52.21285902	Forest		Fruit	Woody fruit, heart-shaped											C. Braendle & A. Cutter	C. Braendle	2015-08-14		Piste 1, Kaw mountains	
		NIC1419		260			NIC	3.603130979	-53.19263603	Forest		Fruit	Fruits,Fruit covers, bursa,Bursa?,NA											C. Braendle & A. Cutter	C. Braendle	2015-08-12		Sentier Roche Bateau, Saül	
		NIC1420		256b			NIC	3.603495006	-53.19458197	Forest		Flower	Clusia flower, small, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-12		Sentier Roche Bateau, Saül	same sample as NIC1387
		NIC1422		193c			NIC	3.639726033	-53.20330401	Forest		Flower	Small orange flowers, fresh/rotten										648	C. Braendle & A. Cutter	C. Braendle	2015-08-11		Sentier Monts la Fumée, Saül	
		NIC1425		378			NIC	4.03997196815908	-52.6749369967728	Forest		fruit	Woody fruit, large old woody balls											C. Braendle & A. Cutter	C. Braendle	2015-08-22		Parare	
		NIC1430		400			NIC	4.04946103692054	-52.6762739941477	Forest		Fruit	Woody fruit shell											C. Braendle & A. Cutter	C. Braendle	2015-08-23		Parare-Inselberg trail	
		NIC1432		530a			NIC	4.08781302161514	-52.679921966046	Forest		Fruit	Large old woody fruit husk											C. Braendle & A. Cutter	C. Braendle	2015-08-23		Inselberg	
		NIC1433		406a			NIC	4.0557250007987	-52.6780450064688	Forest			Small woody fruit balls, rel. fresh											C. Braendle & A. Cutter	C. Braendle	2015-08-23		Parare-Inselberg trail	
		NIC1434		424a			NIC	4.06776702962815	-52.6868780236691	Forest		Flower	Clusia flower, Clusia grandiflora, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-23		Parare-Inselberg trail	
