species	species_ID_method	strain	isotype	previous_names	sequenced	release	source_lab	latitude	longitude	landscape	locality_description	substrate	substrate_comments	substrate_temp	substrate_moisture	ambient_temp	ambient_humidity	associated_organism	life_stage	log_size_of_population	males_observed	inbreeding_state	photo	sampled_by	isolated_by	sampling_date	sampling_date_comments	isolation_comments	notes
		ECA799					ECA	19.589467	-155.068069	Agricultural land		Rotting flower		25.3		23.7	68						https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2827.rotting_flower.1.jpg	S. Zdraljevic	S. Zdraljevic	2017-08-13		Big island, HI	C-2827 collection plate from Hawaii sampling trip
		ECA800					ECA	20.78352803	-156.0650423	Wild forest		Rotting flower		29.3	64.5	27.7	74.4						https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-1245.rotting_flower.1.jpg	K. Evans	K. Evans	2017-08-15		Road to Hana sampling, lava tube?, Maui, HI	C-1245 collection plate from Hawaii sampling trip
		ECA801					ECA	20.78352803	-156.0650423	Wild forest		Rotting flower		29.3	64.5	27.7	74.4						https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-1245.rotting_flower.1.jpg	K. Evans	K. Evans	2017-08-15		Road to Hana sampling, lava tube?, Maui, HI	C-1245 collection plate from Hawaii sampling trip
		ECA802					ECA	20.78352803	-156.0650423	Wild forest		Rotting flower		29.3	64.5	27.7	74.4						https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-1245.rotting_flower.1.jpg	K. Evans	K. Evans	2017-08-15		Road to Hana sampling, lava tube?, Maui, HI	C-1245 collection plate from Hawaii sampling trip
		ECA803					ECA	20.78352803	-156.0650423	Wild forest		Rotting flower		29.3	64.5	27.7	74.4						https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-1245.rotting_flower.1.jpg	K. Evans	K. Evans	2017-08-15		Road to Hana sampling, lava tube?, Maui, HI	C-1245 collection plate from Hawaii sampling trip
		ECA804					ECA	20.807406	-156.096654	Wild forest		Fruit/nut/vegetable		25.4	69	24.3	81.2						https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0380.fruit_nut_vegetable.1.jpg	K. Evans	K. Evans	2017-08-15		Road to Hana, roadside sample, Maui, HI	C-0380 collection plate from Hawaii sampling trip
		ECA805					ECA	20.807406	-156.096654	Wild forest		Fruit/nut/vegetable		25.4	69	24.3	81.2						https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0380.fruit_nut_vegetable.1.jpg	K. Evans	K. Evans	2017-08-15		Road to Hana, roadside sample, Maui, HI	C-0380 collection plate from Hawaii sampling trip
		ECA806					ECA	20.813647	-156.118573	Wild forest		Leaf litter		24.3	66	24.9	86.3						https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0420.leaf_litter.1.jpg	K. Evans	K. Evans	2017-08-15		Road to Hana, roadside sample, Maui, HI	C-0420 collection plate from Hawaii sampling trip
		EG5889					XZ	18.3	-65.8			rotting fruit, Manilkara bidentata												S. Dalton	M. Ailion	2009-10-12			
		EG6180					XZ	18.3	-65.8			rotting fruit												M. Ailion	M. Ailion	2010-03-14		unidentified rotting wild berry	
		JU1373		R4D1	1		JU	-21.0473	55.6885	Agricultural land		rotting flower, Etlingeria elatior												V. Robert	M.-A. Felix	2007-12-31		Hermaphrodite. Isolated by MAF from rotting torch ginger (rose porcelaine - Etlingeria elatior) flowers sampled in the island of La RŽunion by ValŽrie Robert and Lo•c SablŽ. 21¡ 2Õ 44ÕÕ S, 55¡ 41Õ 15ÓÓ E. Early Jan 2008. Highly proliferating population.	
		JU1374		R6H1			JU	-21.0484	55.6878	Agricultural land		live arthropod, millipede												V. Robert	M.-A. Felix	2007-12-31		Hermaphrodite. Isolated by MAF from the surface of a millipede in a sample of rotting  banana flowers (and soil nextby) sampled in the island of La RŽunion by ValŽrie Robert and Lo•c SablŽ. 21¡ 2Õ 44ÕÕ S, 55¡ 41Õ 15ÓÓ E. Early Jan 2008.	
		JU1428		4A2			JU	4.08	-52.68	Forest		rotting fruit, Duguetia surinamensis												P. Ch‰telet	M.-A. Felix	2008-04-30		Isolated in May 2008 from rotting Duguetia surinamensis fruit (#4, subsample A), sampled by P. Ch‰telet on the ÒPetit PlateauÓ near the CNRS Biological station, Nouragues, French guiana (150-200 m from #1).	
		JU1429		4B2			JU	4.08	-52.68	Forest		rotting fruit, Duguetia surinamensis												P. Ch‰telet	M.-A. Felix	2008-04-30		Isolated in May 2008 from rotting Duguetia surinamensis fruit (#4, subsample B), on the ÒPetit PlateauÓ near the CNRS Biological station, Nouragues, French guiana (150-200 m from #1).	
		JU1430		4C1.2			JU	4.08	-52.68	Forest		rotting fruit, Duguetia surinamensis												P. Ch‰telet	M.-A. Felix	2008-04-30		Isolated in May 2008 from rotting Duguetia surinamensis fruit (#4, subsample C), sampled by P. Ch‰telet on the ÒPetit PlateauÓ near the CNRS Biological station, Nouragues, French guiana (150-200 m from #1).	
		JU1630		2.2.1	1		JU	17.1064	-25.1222	Agricultural land		rotting fruit, tomato												M.-A. Felix	M.-A. Felix	2008-04-21		Isolated from rotten small tomatoes sampled on 21 April 2009 around Matinho (17¡065Õ N, 25¡075Õ W) on Santo Antao Island, Cape Verde, by MAF. 4 km from JU1631.	
		JU1631		6.1.1			JU	17.1404	-25.1261	Agricultural land		rotting fruit, tomato												M.-A. Felix	M.-A. Felix	2009-04-21		Isolated from rotten tomatoes sampled on 21 April 2009 in Caibros below Casa Zeca (17¡085Õ N, 25¡075Õ W) on Santo Antao Island, Cape Verde, by MAF. 4 km from JU1630, 1 km from JU1631.	
